"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Create course","LMS service","Thu Nov 13 10:28:05 UTC 2025","passed","Thu Nov 13 10:28:05 UTC 2025","Create entity","Courses","",""
"","545","Create user","LMS service","Thu Nov 13 10:28:12 UTC 2025","passed","Thu Nov 13 10:28:12 UTC 2025","Create entity","Users","",""
"","7","Get file with incorrect file id","LMS service","Thu Nov 13 10:28:12 UTC 2025","passed","Thu Nov 13 10:28:12 UTC 2025","Validate entity","Files","",""
"","257","Create file with empty filename","LMS service","Thu Nov 13 10:28:10 UTC 2025","passed","Thu Nov 13 10:28:11 UTC 2025","Validate entity","Files","",""
"","17","Get exercises","LMS service","Thu Nov 13 10:28:08 UTC 2025","passed","Thu Nov 13 10:28:08 UTC 2025","Get entities","Exercises","",""
"","13","Get exercise","LMS service","Thu Nov 13 10:28:07 UTC 2025","passed","Thu Nov 13 10:28:07 UTC 2025","Get entity","Exercises","",""
"","15","Get file","LMS service","Thu Nov 13 10:28:09 UTC 2025","passed","Thu Nov 13 10:28:09 UTC 2025","Get entity","Files","",""
"","25","Delete exercise","LMS service","Thu Nov 13 10:28:08 UTC 2025","passed","Thu Nov 13 10:28:08 UTC 2025","Delete entity","Exercises","",""
"","29","Get courses","LMS service","Thu Nov 13 10:28:04 UTC 2025","passed","Thu Nov 13 10:28:04 UTC 2025","Get entities","Courses","",""
"","288","Create user","LMS service","Thu Nov 13 10:28:12 UTC 2025","passed","Thu Nov 13 10:28:12 UTC 2025","Create entity","Users","",""
"","15","Create file with empty directory","LMS service","Thu Nov 13 10:28:11 UTC 2025","passed","Thu Nov 13 10:28:11 UTC 2025","Validate entity","Files","",""
"","21","Create exercise","LMS service","Thu Nov 13 10:28:06 UTC 2025","passed","Thu Nov 13 10:28:06 UTC 2025","Create entity","Exercises","",""
"","263","Create file","LMS service","Thu Nov 13 10:28:09 UTC 2025","passed","Thu Nov 13 10:28:09 UTC 2025","Create entity","Files","",""
"","287","Login with correct email and password","LMS service","Thu Nov 13 10:28:03 UTC 2025","passed","Thu Nov 13 10:28:04 UTC 2025","Login","Authentication","",""
"","19","Delete file","LMS service","Thu Nov 13 10:28:12 UTC 2025","passed","Thu Nov 13 10:28:12 UTC 2025","Delete entity","Files","",""
"","521","Create user","LMS service","Thu Nov 13 10:28:12 UTC 2025","passed","Thu Nov 13 10:28:13 UTC 2025","Create entity","Users","",""
"","17","Update exercise","LMS service","Thu Nov 13 10:28:07 UTC 2025","passed","Thu Nov 13 10:28:07 UTC 2025","Update entity","Exercises","",""
"","10","Get user me","LMS service","Thu Nov 13 10:28:13 UTC 2025","passed","Thu Nov 13 10:28:13 UTC 2025","Get entity","Users","",""
"","32","Update course","LMS service","Thu Nov 13 10:28:05 UTC 2025","passed","Thu Nov 13 10:28:06 UTC 2025","Update entity","Courses","",""
