"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","Get file with incorrect file id","LMS service","Mon Nov 17 14:57:15 UTC 2025","passed","Mon Nov 17 14:57:15 UTC 2025","Validate entity","Files","",""
"","261","Create file with empty filename","LMS service","Mon Nov 17 14:57:13 UTC 2025","passed","Mon Nov 17 14:57:13 UTC 2025","Validate entity","Files","",""
"","25","Delete exercise","LMS service","Mon Nov 17 14:57:11 UTC 2025","passed","Mon Nov 17 14:57:11 UTC 2025","Delete entity","Exercises","",""
"","285","Login with correct email and password","LMS service","Mon Nov 17 14:57:06 UTC 2025","passed","Mon Nov 17 14:57:07 UTC 2025","Login","Authentication","",""
"","14","Get file","LMS service","Mon Nov 17 14:57:12 UTC 2025","passed","Mon Nov 17 14:57:12 UTC 2025","Get entity","Files","",""
"","23","Update exercise","LMS service","Mon Nov 17 14:57:10 UTC 2025","passed","Mon Nov 17 14:57:10 UTC 2025","Update entity","Exercises","",""
"","528","Create user","LMS service","Mon Nov 17 14:57:15 UTC 2025","passed","Mon Nov 17 14:57:16 UTC 2025","Create entity","Users","",""
"","257","Create file","LMS service","Mon Nov 17 14:57:12 UTC 2025","passed","Mon Nov 17 14:57:12 UTC 2025","Create entity","Files","",""
"","302","Update course","LMS service","Mon Nov 17 14:57:08 UTC 2025","passed","Mon Nov 17 14:57:09 UTC 2025","Update entity","Courses","",""
"","542","Create user","LMS service","Mon Nov 17 14:57:15 UTC 2025","passed","Mon Nov 17 14:57:15 UTC 2025","Create entity","Users","",""
"","28","Get courses","LMS service","Mon Nov 17 14:57:07 UTC 2025","passed","Mon Nov 17 14:57:07 UTC 2025","Get entities","Courses","",""
"","19","Create file with empty directory","LMS service","Mon Nov 17 14:57:13 UTC 2025","passed","Mon Nov 17 14:57:13 UTC 2025","Validate entity","Files","",""
"","17","Get exercises","LMS service","Mon Nov 17 14:57:11 UTC 2025","passed","Mon Nov 17 14:57:11 UTC 2025","Get entities","Exercises","",""
"","30","Create course","LMS service","Mon Nov 17 14:57:08 UTC 2025","passed","Mon Nov 17 14:57:08 UTC 2025","Create entity","Courses","",""
"","20","Delete file","LMS service","Mon Nov 17 14:57:15 UTC 2025","passed","Mon Nov 17 14:57:15 UTC 2025","Delete entity","Files","",""
"","11","Get user me","LMS service","Mon Nov 17 14:57:16 UTC 2025","passed","Mon Nov 17 14:57:16 UTC 2025","Get entity","Users","",""
"","290","Create user","LMS service","Mon Nov 17 14:57:15 UTC 2025","passed","Mon Nov 17 14:57:15 UTC 2025","Create entity","Users","",""
"","24","Create exercise","LMS service","Mon Nov 17 14:57:09 UTC 2025","passed","Mon Nov 17 14:57:09 UTC 2025","Create entity","Exercises","",""
"","14","Get exercise","LMS service","Mon Nov 17 14:57:10 UTC 2025","passed","Mon Nov 17 14:57:10 UTC 2025","Get entity","Exercises","",""
