"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","Update course","LMS service","Wed Nov 12 21:01:26 UTC 2025","passed","Wed Nov 12 21:01:26 UTC 2025","Update entity","Courses","",""
"","10","Get user me","LMS service","Wed Nov 12 21:01:33 UTC 2025","passed","Wed Nov 12 21:01:33 UTC 2025","Get entity","Users","",""
"","287","Create user","LMS service","Wed Nov 12 21:01:32 UTC 2025","passed","Wed Nov 12 21:01:32 UTC 2025","Create entity","Users","",""
"","254","Create file with empty filename","LMS service","Wed Nov 12 21:01:30 UTC 2025","passed","Wed Nov 12 21:01:31 UTC 2025","Validate entity","Files","",""
"","26","Create course","LMS service","Wed Nov 12 21:01:25 UTC 2025","passed","Wed Nov 12 21:01:25 UTC 2025","Create entity","Courses","",""
"","18","Delete file","LMS service","Wed Nov 12 21:01:32 UTC 2025","passed","Wed Nov 12 21:01:32 UTC 2025","Delete entity","Files","",""
"","14","Get file","LMS service","Wed Nov 12 21:01:30 UTC 2025","passed","Wed Nov 12 21:01:30 UTC 2025","Get entity","Files","",""
"","15","Get exercises","LMS service","Wed Nov 12 21:01:28 UTC 2025","passed","Wed Nov 12 21:01:28 UTC 2025","Get entities","Exercises","",""
"","519","Create user","LMS service","Wed Nov 12 21:01:32 UTC 2025","passed","Wed Nov 12 21:01:33 UTC 2025","Create entity","Users","",""
"","266","Create file","LMS service","Wed Nov 12 21:01:29 UTC 2025","passed","Wed Nov 12 21:01:30 UTC 2025","Create entity","Files","",""
"","540","Create user","LMS service","Wed Nov 12 21:01:32 UTC 2025","passed","Wed Nov 12 21:01:33 UTC 2025","Create entity","Users","",""
"","22","Create exercise","LMS service","Wed Nov 12 21:01:26 UTC 2025","passed","Wed Nov 12 21:01:26 UTC 2025","Create entity","Exercises","",""
"","29","Delete exercise","LMS service","Wed Nov 12 21:01:28 UTC 2025","passed","Wed Nov 12 21:01:28 UTC 2025","Delete entity","Exercises","",""
"","11","Get file with incorrect file id","LMS service","Wed Nov 12 21:01:32 UTC 2025","passed","Wed Nov 12 21:01:32 UTC 2025","Validate entity","Files","",""
"","15","Create file with empty directory","LMS service","Wed Nov 12 21:01:31 UTC 2025","passed","Wed Nov 12 21:01:31 UTC 2025","Validate entity","Files","",""
"","301","Get courses","LMS service","Wed Nov 12 21:01:24 UTC 2025","passed","Wed Nov 12 21:01:25 UTC 2025","Get entities","Courses","",""
"","13","Get exercise","LMS service","Wed Nov 12 21:01:27 UTC 2025","passed","Wed Nov 12 21:01:27 UTC 2025","Get entity","Exercises","",""
"","285","Login with correct email and password","LMS service","Wed Nov 12 21:01:24 UTC 2025","passed","Wed Nov 12 21:01:24 UTC 2025","Login","Authentication","",""
"","22","Update exercise","LMS service","Wed Nov 12 21:01:27 UTC 2025","passed","Wed Nov 12 21:01:27 UTC 2025","Update entity","Exercises","",""
