"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","538","Create user","LMS service","Thu Nov 13 10:28:54 UTC 2025","passed","Thu Nov 13 10:28:55 UTC 2025","Create entity","Users","",""
"","20","Create exercise","LMS service","Thu Nov 13 10:28:48 UTC 2025","passed","Thu Nov 13 10:28:48 UTC 2025","Create entity","Exercises","",""
"","285","Login with correct email and password","LMS service","Thu Nov 13 10:28:46 UTC 2025","passed","Thu Nov 13 10:28:46 UTC 2025","Login","Authentication","",""
"","263","Create file","LMS service","Thu Nov 13 10:28:52 UTC 2025","passed","Thu Nov 13 10:28:52 UTC 2025","Create entity","Files","",""
"","29","Delete exercise","LMS service","Thu Nov 13 10:28:51 UTC 2025","passed","Thu Nov 13 10:28:51 UTC 2025","Delete entity","Exercises","",""
"","20","Delete file","LMS service","Thu Nov 13 10:28:54 UTC 2025","passed","Thu Nov 13 10:28:54 UTC 2025","Delete entity","Files","",""
"","15","Get file","LMS service","Thu Nov 13 10:28:52 UTC 2025","passed","Thu Nov 13 10:28:52 UTC 2025","Get entity","Files","",""
"","14","Get exercise","LMS service","Thu Nov 13 10:28:50 UTC 2025","passed","Thu Nov 13 10:28:50 UTC 2025","Get entity","Exercises","",""
"","26","Create course","LMS service","Thu Nov 13 10:28:47 UTC 2025","passed","Thu Nov 13 10:28:47 UTC 2025","Create entity","Courses","",""
"","11","Get user me","LMS service","Thu Nov 13 10:28:56 UTC 2025","passed","Thu Nov 13 10:28:56 UTC 2025","Get entity","Users","",""
"","23","Update exercise","LMS service","Thu Nov 13 10:28:50 UTC 2025","passed","Thu Nov 13 10:28:50 UTC 2025","Update entity","Exercises","",""
"","259","Create file with empty filename","LMS service","Thu Nov 13 10:28:53 UTC 2025","passed","Thu Nov 13 10:28:53 UTC 2025","Validate entity","Files","",""
"","527","Create user","LMS service","Thu Nov 13 10:28:55 UTC 2025","passed","Thu Nov 13 10:28:55 UTC 2025","Create entity","Users","",""
"","296","Get courses","LMS service","Thu Nov 13 10:28:47 UTC 2025","passed","Thu Nov 13 10:28:47 UTC 2025","Get entities","Courses","",""
"","290","Create user","LMS service","Thu Nov 13 10:28:54 UTC 2025","passed","Thu Nov 13 10:28:55 UTC 2025","Create entity","Users","",""
"","19","Create file with empty directory","LMS service","Thu Nov 13 10:28:53 UTC 2025","passed","Thu Nov 13 10:28:53 UTC 2025","Validate entity","Files","",""
"","7","Get file with incorrect file id","LMS service","Thu Nov 13 10:28:54 UTC 2025","passed","Thu Nov 13 10:28:54 UTC 2025","Validate entity","Files","",""
"","13","Get exercises","LMS service","Thu Nov 13 10:28:51 UTC 2025","passed","Thu Nov 13 10:28:51 UTC 2025","Get entities","Exercises","",""
"","32","Update course","LMS service","Thu Nov 13 10:28:48 UTC 2025","passed","Thu Nov 13 10:28:48 UTC 2025","Update entity","Courses","",""
