"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","Get user me","LMS service","Wed Nov 12 14:36:03 UTC 2025","passed","Wed Nov 12 14:36:03 UTC 2025","Get entity","Users","",""
"","25","Create course","LMS service","Wed Nov 12 14:35:54 UTC 2025","passed","Wed Nov 12 14:35:54 UTC 2025","Create entity","Courses","",""
"","21","Update exercise","LMS service","Wed Nov 12 14:35:56 UTC 2025","passed","Wed Nov 12 14:35:56 UTC 2025","Update entity","Exercises","",""
"","20","Create file with empty directory","LMS service","Wed Nov 12 14:36:00 UTC 2025","passed","Wed Nov 12 14:36:00 UTC 2025","Validate entity","Files","",""
"","20","Get exercises","LMS service","Wed Nov 12 14:35:58 UTC 2025","passed","Wed Nov 12 14:35:58 UTC 2025","Get entities","Exercises","",""
"","468","Create user","LMS service","Wed Nov 12 14:36:01 UTC 2025","passed","Wed Nov 12 14:36:02 UTC 2025","Create entity","Users","",""
"","26","Delete exercise","LMS service","Wed Nov 12 14:35:58 UTC 2025","passed","Wed Nov 12 14:35:58 UTC 2025","Delete entity","Exercises","",""
"","6","Get file with incorrect file id","LMS service","Wed Nov 12 14:36:01 UTC 2025","broken","Wed Nov 12 14:36:01 UTC 2025","Validate entity","Files","",""
"","14","Get exercise","LMS service","Wed Nov 12 14:35:56 UTC 2025","passed","Wed Nov 12 14:35:56 UTC 2025","Get entity","Exercises","",""
"","13","Get file","LMS service","Wed Nov 12 14:35:59 UTC 2025","passed","Wed Nov 12 14:35:59 UTC 2025","Get entity","Files","",""
"","283","Login with correct email and password","LMS service","Wed Nov 12 14:35:53 UTC 2025","passed","Wed Nov 12 14:35:53 UTC 2025","Login","Authentication","",""
"","33","Update course","LMS service","Wed Nov 12 14:35:55 UTC 2025","passed","Wed Nov 12 14:35:55 UTC 2025","Update entity","Courses","",""
"","20","Create exercise","LMS service","Wed Nov 12 14:35:55 UTC 2025","passed","Wed Nov 12 14:35:55 UTC 2025","Create entity","Exercises","",""
"","18","Delete file","LMS service","Wed Nov 12 14:36:01 UTC 2025","passed","Wed Nov 12 14:36:01 UTC 2025","Delete entity","Files","",""
"","295","Get courses","LMS service","Wed Nov 12 14:35:54 UTC 2025","passed","Wed Nov 12 14:35:54 UTC 2025","Get entities","Courses","",""
"","288","Create user","LMS service","Wed Nov 12 14:36:01 UTC 2025","passed","Wed Nov 12 14:36:01 UTC 2025","Create entity","Users","",""
"","258","Create file","LMS service","Wed Nov 12 14:35:59 UTC 2025","passed","Wed Nov 12 14:35:59 UTC 2025","Create entity","Files","",""
"","263","Create file with empty filename","LMS service","Wed Nov 12 14:36:00 UTC 2025","passed","Wed Nov 12 14:36:00 UTC 2025","Validate entity","Files","",""
"","528","Create user","LMS service","Wed Nov 12 14:36:01 UTC 2025","passed","Wed Nov 12 14:36:02 UTC 2025","Create entity","Users","",""
