"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","Get file with incorrect file id","LMS service","Mon Nov 17 12:02:39 UTC 2025","passed","Mon Nov 17 12:02:39 UTC 2025","Validate entity","Files","",""
"","15","Get exercises","LMS service","Mon Nov 17 12:02:35 UTC 2025","passed","Mon Nov 17 12:02:35 UTC 2025","Get entities","Exercises","",""
"","531","Create user","LMS service","Mon Nov 17 12:02:39 UTC 2025","passed","Mon Nov 17 12:02:40 UTC 2025","Create entity","Users","",""
"","27","Update exercise","LMS service","Mon Nov 17 12:02:34 UTC 2025","passed","Mon Nov 17 12:02:34 UTC 2025","Update entity","Exercises","",""
"","285","Login with correct email and password","LMS service","Mon Nov 17 12:02:30 UTC 2025","passed","Mon Nov 17 12:02:31 UTC 2025","Login","Authentication","",""
"","260","Create file with empty filename","LMS service","Mon Nov 17 12:02:37 UTC 2025","passed","Mon Nov 17 12:02:38 UTC 2025","Validate entity","Files","",""
"","287","Create user","LMS service","Mon Nov 17 12:02:39 UTC 2025","passed","Mon Nov 17 12:02:39 UTC 2025","Create entity","Users","",""
"","300","Update course","LMS service","Mon Nov 17 12:02:32 UTC 2025","passed","Mon Nov 17 12:02:33 UTC 2025","Update entity","Courses","",""
"","25","Delete exercise","LMS service","Mon Nov 17 12:02:35 UTC 2025","passed","Mon Nov 17 12:02:35 UTC 2025","Delete entity","Exercises","",""
"","28","Create course","LMS service","Mon Nov 17 12:02:32 UTC 2025","passed","Mon Nov 17 12:02:32 UTC 2025","Create entity","Courses","",""
"","21","Create exercise","LMS service","Mon Nov 17 12:02:33 UTC 2025","passed","Mon Nov 17 12:02:33 UTC 2025","Create entity","Exercises","",""
"","17","Create file with empty directory","LMS service","Mon Nov 17 12:02:38 UTC 2025","passed","Mon Nov 17 12:02:38 UTC 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Mon Nov 17 12:02:36 UTC 2025","passed","Mon Nov 17 12:02:36 UTC 2025","Get entity","Files","",""
"","15","Get exercise","LMS service","Mon Nov 17 12:02:34 UTC 2025","passed","Mon Nov 17 12:02:34 UTC 2025","Get entity","Exercises","",""
"","547","Create user","LMS service","Mon Nov 17 12:02:39 UTC 2025","passed","Mon Nov 17 12:02:39 UTC 2025","Create entity","Users","",""
"","19","Delete file","LMS service","Mon Nov 17 12:02:39 UTC 2025","passed","Mon Nov 17 12:02:39 UTC 2025","Delete entity","Files","",""
"","28","Get courses","LMS service","Mon Nov 17 12:02:31 UTC 2025","passed","Mon Nov 17 12:02:31 UTC 2025","Get entities","Courses","",""
"","267","Create file","LMS service","Mon Nov 17 12:02:36 UTC 2025","passed","Mon Nov 17 12:02:36 UTC 2025","Create entity","Files","",""
"","11","Get user me","LMS service","Mon Nov 17 12:02:40 UTC 2025","passed","Mon Nov 17 12:02:40 UTC 2025","Get entity","Users","",""
