"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","464","Create user","LMS service","Wed Nov 12 15:10:16 UTC 2025","passed","Wed Nov 12 15:10:16 UTC 2025","Create entity","Users","",""
"","5","Get file with incorrect file id","LMS service","Wed Nov 12 15:10:16 UTC 2025","broken","Wed Nov 12 15:10:16 UTC 2025","Validate entity","Files","",""
"","298","Update course","LMS service","Wed Nov 12 15:10:10 UTC 2025","passed","Wed Nov 12 15:10:10 UTC 2025","Update entity","Courses","",""
"","259","Create file with empty filename","LMS service","Wed Nov 12 15:10:14 UTC 2025","passed","Wed Nov 12 15:10:15 UTC 2025","Validate entity","Files","",""
"","288","Create user","LMS service","Wed Nov 12 15:10:16 UTC 2025","passed","Wed Nov 12 15:10:16 UTC 2025","Create entity","Users","",""
"","14","Get exercise","LMS service","Wed Nov 12 15:10:11 UTC 2025","passed","Wed Nov 12 15:10:11 UTC 2025","Get entity","Exercises","",""
"","15","Get file","LMS service","Wed Nov 12 15:10:14 UTC 2025","passed","Wed Nov 12 15:10:14 UTC 2025","Get entity","Files","",""
"","261","Create file","LMS service","Wed Nov 12 15:10:13 UTC 2025","passed","Wed Nov 12 15:10:14 UTC 2025","Create entity","Files","",""
"","19","Create exercise","LMS service","Wed Nov 12 15:10:10 UTC 2025","passed","Wed Nov 12 15:10:10 UTC 2025","Create entity","Exercises","",""
"","28","Update exercise","LMS service","Wed Nov 12 15:10:11 UTC 2025","passed","Wed Nov 12 15:10:11 UTC 2025","Update entity","Exercises","",""
"","283","Login with correct email and password","LMS service","Wed Nov 12 15:10:08 UTC 2025","passed","Wed Nov 12 15:10:08 UTC 2025","Login","Authentication","",""
"","18","Delete file","LMS service","Wed Nov 12 15:10:16 UTC 2025","passed","Wed Nov 12 15:10:16 UTC 2025","Delete entity","Files","",""
"","8","Get user me","LMS service","Wed Nov 12 15:10:17 UTC 2025","passed","Wed Nov 12 15:10:17 UTC 2025","Get entity","Users","",""
"","16","Create file with empty directory","LMS service","Wed Nov 12 15:10:15 UTC 2025","passed","Wed Nov 12 15:10:15 UTC 2025","Validate entity","Files","",""
"","527","Create user","LMS service","Wed Nov 12 15:10:16 UTC 2025","passed","Wed Nov 12 15:10:17 UTC 2025","Create entity","Users","",""
"","14","Get exercises","LMS service","Wed Nov 12 15:10:12 UTC 2025","passed","Wed Nov 12 15:10:12 UTC 2025","Get entities","Exercises","",""
"","29","Get courses","LMS service","Wed Nov 12 15:10:08 UTC 2025","passed","Wed Nov 12 15:10:08 UTC 2025","Get entities","Courses","",""
"","27","Create course","LMS service","Wed Nov 12 15:10:09 UTC 2025","passed","Wed Nov 12 15:10:09 UTC 2025","Create entity","Courses","",""
"","25","Delete exercise","LMS service","Wed Nov 12 15:10:12 UTC 2025","passed","Wed Nov 12 15:10:12 UTC 2025","Delete entity","Exercises","",""
