"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Update course","LMS service","Mon Nov 17 12:07:19 UTC 2025","passed","Mon Nov 17 12:07:19 UTC 2025","Update entity","Courses","",""
"","19","Create file with empty directory","LMS service","Mon Nov 17 12:07:24 UTC 2025","passed","Mon Nov 17 12:07:24 UTC 2025","Validate entity","Files","",""
"","263","Create file with empty filename","LMS service","Mon Nov 17 12:07:24 UTC 2025","passed","Mon Nov 17 12:07:24 UTC 2025","Validate entity","Files","",""
"","14","Get exercise","LMS service","Mon Nov 17 12:07:21 UTC 2025","passed","Mon Nov 17 12:07:21 UTC 2025","Get entity","Exercises","",""
"","8","Get file with incorrect file id","LMS service","Mon Nov 17 12:07:25 UTC 2025","passed","Mon Nov 17 12:07:26 UTC 2025","Validate entity","Files","",""
"","11","Get user me","LMS service","Mon Nov 17 12:07:27 UTC 2025","passed","Mon Nov 17 12:07:27 UTC 2025","Get entity","Users","",""
"","286","Login with correct email and password","LMS service","Mon Nov 17 12:07:17 UTC 2025","passed","Mon Nov 17 12:07:17 UTC 2025","Login","Authentication","",""
"","21","Update exercise","LMS service","Mon Nov 17 12:07:21 UTC 2025","passed","Mon Nov 17 12:07:21 UTC 2025","Update entity","Exercises","",""
"","20","Delete file","LMS service","Mon Nov 17 12:07:25 UTC 2025","passed","Mon Nov 17 12:07:25 UTC 2025","Delete entity","Files","",""
"","297","Get courses","LMS service","Mon Nov 17 12:07:18 UTC 2025","passed","Mon Nov 17 12:07:18 UTC 2025","Get entities","Courses","",""
"","523","Create user","LMS service","Mon Nov 17 12:07:26 UTC 2025","passed","Mon Nov 17 12:07:26 UTC 2025","Create entity","Users","",""
"","262","Create file","LMS service","Mon Nov 17 12:07:23 UTC 2025","passed","Mon Nov 17 12:07:23 UTC 2025","Create entity","Files","",""
"","24","Delete exercise","LMS service","Mon Nov 17 12:07:22 UTC 2025","passed","Mon Nov 17 12:07:22 UTC 2025","Delete entity","Exercises","",""
"","551","Create user","LMS service","Mon Nov 17 12:07:26 UTC 2025","passed","Mon Nov 17 12:07:26 UTC 2025","Create entity","Users","",""
"","287","Create user","LMS service","Mon Nov 17 12:07:26 UTC 2025","passed","Mon Nov 17 12:07:26 UTC 2025","Create entity","Users","",""
"","26","Create course","LMS service","Mon Nov 17 12:07:18 UTC 2025","passed","Mon Nov 17 12:07:18 UTC 2025","Create entity","Courses","",""
"","19","Get exercises","LMS service","Mon Nov 17 12:07:22 UTC 2025","passed","Mon Nov 17 12:07:22 UTC 2025","Get entities","Exercises","",""
"","13","Get file","LMS service","Mon Nov 17 12:07:23 UTC 2025","passed","Mon Nov 17 12:07:23 UTC 2025","Get entity","Files","",""
"","20","Create exercise","LMS service","Mon Nov 17 12:07:19 UTC 2025","passed","Mon Nov 17 12:07:20 UTC 2025","Create entity","Exercises","",""
