"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","Get file with incorrect file id","LMS service","Mon Nov 17 12:07:54 UTC 2025","passed","Mon Nov 17 12:07:54 UTC 2025","Validate entity","Files","",""
"","14","Get exercises","LMS service","Mon Nov 17 12:07:51 UTC 2025","passed","Mon Nov 17 12:07:51 UTC 2025","Get entities","Exercises","",""
"","23","Delete exercise","LMS service","Mon Nov 17 12:07:51 UTC 2025","passed","Mon Nov 17 12:07:51 UTC 2025","Delete entity","Exercises","",""
"","286","Login with correct email and password","LMS service","Mon Nov 17 12:07:46 UTC 2025","passed","Mon Nov 17 12:07:46 UTC 2025","Login","Authentication","",""
"","16","Create file with empty directory","LMS service","Mon Nov 17 12:07:53 UTC 2025","passed","Mon Nov 17 12:07:53 UTC 2025","Validate entity","Files","",""
"","549","Create user","LMS service","Mon Nov 17 12:07:54 UTC 2025","passed","Mon Nov 17 12:07:55 UTC 2025","Create entity","Users","",""
"","30","Update exercise","LMS service","Mon Nov 17 12:07:50 UTC 2025","passed","Mon Nov 17 12:07:50 UTC 2025","Update entity","Exercises","",""
"","10","Get user me","LMS service","Mon Nov 17 12:07:56 UTC 2025","passed","Mon Nov 17 12:07:56 UTC 2025","Get entity","Users","",""
"","31","Create course","LMS service","Mon Nov 17 12:07:47 UTC 2025","passed","Mon Nov 17 12:07:47 UTC 2025","Create entity","Courses","",""
"","289","Create user","LMS service","Mon Nov 17 12:07:54 UTC 2025","passed","Mon Nov 17 12:07:55 UTC 2025","Create entity","Users","",""
"","15","Get file","LMS service","Mon Nov 17 12:07:52 UTC 2025","passed","Mon Nov 17 12:07:52 UTC 2025","Get entity","Files","",""
"","258","Create file with empty filename","LMS service","Mon Nov 17 12:07:53 UTC 2025","passed","Mon Nov 17 12:07:53 UTC 2025","Validate entity","Files","",""
"","21","Delete file","LMS service","Mon Nov 17 12:07:54 UTC 2025","passed","Mon Nov 17 12:07:54 UTC 2025","Delete entity","Files","",""
"","304","Update course","LMS service","Mon Nov 17 12:07:48 UTC 2025","passed","Mon Nov 17 12:07:48 UTC 2025","Update entity","Courses","",""
"","21","Create exercise","LMS service","Mon Nov 17 12:07:48 UTC 2025","passed","Mon Nov 17 12:07:48 UTC 2025","Create entity","Exercises","",""
"","29","Get courses","LMS service","Mon Nov 17 12:07:47 UTC 2025","passed","Mon Nov 17 12:07:47 UTC 2025","Get entities","Courses","",""
"","263","Create file","LMS service","Mon Nov 17 12:07:52 UTC 2025","passed","Mon Nov 17 12:07:52 UTC 2025","Create entity","Files","",""
"","15","Get exercise","LMS service","Mon Nov 17 12:07:50 UTC 2025","passed","Mon Nov 17 12:07:50 UTC 2025","Get entity","Exercises","",""
"","520","Create user","LMS service","Mon Nov 17 12:07:55 UTC 2025","passed","Mon Nov 17 12:07:55 UTC 2025","Create entity","Users","",""
